klucz,age,height_cm,weight_kg,value_eur,overall
00008652,20,187,81,950000,66
00013002,20,175,65,650000,62
00015235,23,174,74,275000,60
00009701,22,190,79,800000,65
00016904,21,180,68,170000,57
00013337,23,180,70,450000,62
00002217,29,187,84,5500000,74
00006894,26,169,67,1100000,68
00009776,22,183,81,750000,65
00010610,29,185,80,450000,65
00006140,30,190,76,850000,69
00015104,20,194,83,240000,60
00001460,31,173,74,5500000,76
00004420,31,186,82,1800000,71
00000571,28,197,86,11000000,79
00010049,25,193,82,625000,65
00008964,23,197,92,725000,66
00005033,31,193,88,1100000,70
00002105,22,184,76,8000000,74
00010755,20,172,70,1000000,64
00011495,26,179,75,525000,64
00012681,31,185,77,275000,63
00008694,24,179,72,825000,66
00006545,22,173,71,1300000,68
00009911,24,191,80,675000,65
00003953,25,172,70,3100000,71
00007148,28,169,66,900000,68
00017396,24,183,70,130000,56
00002081,22,182,72,7500000,74
00007538,23,187,88,975000,67
00013612,27,185,81,325000,62
00009029,26,182,82,550000,66
00004175,38,169,67,425000,71
00002883,39,178,82,1200000,73
00013700,30,188,83,200000,62
00008792,23,189,75,875000,66
00000475,34,178,77,5500000,80
00014668,27,174,66,275000,61
00003674,31,172,75,2200000,72
00003344,27,194,81,3300000,72
00003414,27,171,70,3200000,72
00007392,19,190,87,1200000,67
00005101,30,180,77,1600000,70
00001979,33,169,72,4000000,75
00001303,26,187,74,8500000,76
00013547,23,177,78,350000,62
00013446,24,175,71,425000,62
00007080,27,181,71,950000,68
00012159,22,180,70,500000,63
00004728,25,169,72,2100000,70
00014040,18,189,77,450000,61
00008070,30,182,76,725000,67
00015196,23,178,73,275000,60
00004132,27,192,79,2400000,71
00010726,30,161,60,500000,65
00013840,29,186,82,250000,62
00001867,31,188,81,4300000,75
00006924,36,182,76,160000,68
00005559,24,173,66,1300000,69
00010632,27,187,77,550000,65
00000334,29,172,68,17500000,81
00011776,27,182,74,475000,64
00014810,20,167,64,450000,60
00003800,29,180,71,3000000,72
00006868,29,187,82,850000,68
00012606,27,181,77,425000,63
00004655,23,175,70,2300000,70
00008375,33,185,89,350000,67
00000980,25,185,73,10000000,77
00008745,23,192,86,800000,66
00002206,25,186,76,7000000,74
00000827,29,183,78,8500000,78
00001314,28,184,82,7500000,76
00012013,20,179,80,675000,63
00012073,20,178,70,625000,63
00000688,21,192,78,15500000,78
00015582,21,191,80,325000,59
00004427,28,184,87,2400000,71
00007086,27,183,78,950000,68
00007201,31,183,82,800000,68
00001590,23,187,78,9500000,75
00002111,25,188,83,5500000,74
00012687,30,180,73,350000,63
00007151,31,182,80,650000,68
00006829,28,184,77,900000,68
00003473,31,178,80,2700000,72
00005942,34,174,70,375000,69
00005279,28,179,78,1500000,70
00010407,28,164,69,475000,65
00000205,30,172,63,24500000,83
00002281,34,195,90,2500000,74
00016167,20,175,72,275000,58
00009862,22,186,81,775000,65
00011047,23,174,69,600000,64
00012243,23,175,70,525000,63
00000354,32,182,71,14000000,81
00012929,30,179,75,350000,63
00005263,32,186,75,1400000,70
00008238,35,180,78,230000,67
00016409,22,183,75,200000,58
00004279,33,190,85,1100000,71
00007913,27,191,80,775000,67
00002466,20,179,76,5500000,74
00000019,26,188,86,53500000,88
00004604,23,193,80,2500000,70
00005998,33,191,87,650000,69
00002644,28,180,79,3600000,73
00006070,33,178,73,650000,69
00009306,33,189,74,400000,66
00003247,26,182,68,3500000,72
00002990,30,187,78,3800000,73
00001205,23,179,67,10500000,76
00010635,32,182,80,350000,65
00012590,27,184,84,375000,63
00003064,18,185,76,6000000,72
00002458,28,183,71,5000000,74
00005299,28,181,77,1800000,70
00007292,29,176,75,875000,68
00002468,24,186,74,5500000,74
00002027,24,172,71,7500000,75
00004397,30,180,78,1900000,71
00005331,24,165,62,2000000,70
00002454,28,188,78,4900000,74
00008377,20,181,75,825000,67
00012571,26,192,82,400000,63
00001991,28,173,66,6500000,75
00000687,21,181,79,15000000,78
00002015,28,177,78,6000000,75
00003015,36,180,81,800000,73
00002008,36,177,73,1200000,75
00003020,36,181,79,800000,73
00001162,28,165,62,7500000,77
00001999,30,180,71,6000000,75
00006218,34,176,85,525000,69
00002929,32,193,89,2600000,73
00002473,28,180,76,6000000,74
00010794,19,172,71,900000,64
00006110,29,187,74,900000,69
00004960,25,173,70,2100000,70
00007096,32,181,81,575000,68
00000469,30,176,72,11500000,80
00002338,32,186,78,3600000,74
00002075,22,179,72,8500000,74
00003718,28,181,80,3200000,72
00000887,20,176,75,10000000,78
00000285,24,174,72,24000000,81
00000675,24,177,75,12500000,79
00006159,32,173,70,700000,69
00007915,27,181,73,850000,67
00000199,32,192,88,16500000,83
00001280,26,168,65,9500000,76
00012907,28,178,70,325000,63
00008644,22,189,78,875000,66
00017349,23,175,68,140000,56
00009854,24,177,60,675000,65
00012401,26,186,77,425000,63
00005905,27,184,74,1200000,69
00013010,19,165,66,650000,62
00007448,22,183,78,1100000,67
00007847,26,180,76,925000,67
00009209,36,184,74,230000,66
00012152,23,184,78,525000,63
00015439,29,175,70,200000,60
00000488,33,189,88,8000000,80
00004007,24,179,71,2800000,71
00004143,27,197,92,2800000,71
00004256,31,175,74,2100000,71
00006811,27,196,96,950000,68
00002581,23,182,60,4900000,73
00005713,25,181,76,1200000,69
00006655,25,180,74,1200000,68
00008314,31,180,74,550000,67
00007951,27,180,78,900000,67
00007142,28,174,70,900000,68
00002823,33,176,69,2400000,73
00002283,32,188,84,3600000,74
00006736,27,188,81,775000,68
00006001,33,188,74,500000,69
00004176,36,173,78,750000,71
00011642,31,182,70,375000,64
00003901,21,180,75,3000000,71
00011507,26,170,70,525000,64
00003659,27,179,70,3300000,72
00008214,35,187,82,230000,67
00006650,24,187,83,1100000,68
00011590,31,190,87,400000,64
00006661,23,194,90,900000,68
00001250,24,167,66,9000000,76
00008666,22,184,80,850000,66
00013028,20,180,74,650000,62
00005243,27,180,80,1600000,70
00008573,23,184,80,775000,66
00001676,26,179,79,7000000,75
00000630,32,181,74,10000000,79
00011581,30,175,65,375000,64
00001940,28,174,74,6500000,75
00001615,24,182,75,8000000,75
00006197,32,179,75,800000,69
00009559,30,189,75,525000,66
00003658,33,183,72,1400000,72
00002078,22,180,77,8500000,74
00011160,24,185,77,650000,64
00000715,22,175,70,14500000,78
00010287,27,178,78,525000,65
00007391,20,179,68,1300000,67
00004164,38,184,83,475000,71
00002059,22,182,72,9000000,74
00000459,29,176,74,14000000,80
00006190,32,172,71,650000,69
00012659,27,192,85,300000,63
00004667,24,181,76,2200000,70
00006530,23,189,74,1100000,68
00007893,29,183,76,725000,67
00000068,23,180,74,50500000,85
00003857,23,182,71,3600000,71
00014973,22,174,71,350000,60
00001467,26,171,75,8500000,76
00004246,31,193,88,2100000,71
00005117,30,185,78,1400000,70
00008254,36,170,70,140000,67
00011976,17,176,65,675000,63
00005051,32,186,80,1400000,70
00010051,25,193,89,525000,65
00013585,25,185,83,375000,62
00001905,28,181,75,6500000,75
00010023,22,180,76,650000,65
00005653,25,175,72,1200000,69
00000662,29,174,86,10500000,79
00001947,31,178,71,5500000,75
00003657,28,171,70,3100000,72
00005127,35,196,104,475000,70
00001123,31,190,83,6500000,77
00007628,24,173,70,1000000,67
00007191,30,181,80,725000,68
00004097,27,185,85,2500000,71
00009190,31,193,80,475000,66
00002309,31,183,80,4300000,74
00002779,34,177,76,1500000,73
00005105,30,196,93,1200000,70
00016220,21,178,72,275000,58
00001706,25,168,68,8000000,75
00012888,28,170,68,375000,63
00015499,19,175,69,325000,59
00000729,24,187,77,13500000,78
00005840,28,182,80,1100000,69
00008129,30,171,71,725000,67
00010293,27,180,75,625000,65
00001909,30,177,73,5500000,75
00002768,34,188,73,1500000,73
00004905,27,187,83,1800000,70
00008195,30,189,76,725000,67
00008168,28,182,76,750000,67
00003326,27,192,84,3300000,72
00010642,26,183,75,575000,65
00015029,22,170,61,325000,60
00003681,30,178,70,2900000,72
00007822,25,180,75,975000,67
00004386,29,172,74,2000000,71
00010047,25,181,74,625000,65
00005589,23,180,70,1400000,69
00010946,21,180,74,725000,64
00015237,23,190,82,250000,60
00003359,29,193,84,2900000,72
00012660,28,188,83,350000,63
00001919,31,180,77,6000000,75
00009039,27,185,73,650000,66
00004267,31,181,80,1800000,71
00006365,20,173,64,1700000,68
00005767,25,189,86,1300000,69
00004746,23,192,85,1800000,70
00011623,28,180,77,475000,64
00005269,27,181,72,1900000,70
00009843,24,188,76,675000,65
00000947,23,183,76,11500000,77
00008785,22,177,70,775000,66
00004364,29,186,75,2000000,71
00002388,27,180,79,6000000,74
00001418,32,194,93,6000000,76
00010988,23,190,83,625000,64
00000207,27,184,82,27000000,83
00005539,21,186,81,1600000,69
00002816,33,181,81,1800000,73
00004843,29,191,82,1500000,70
00007918,27,183,79,900000,67
00003482,33,175,71,1500000,72
00003697,29,176,73,2700000,72
00014332,24,176,70,325000,61
00009907,23,174,73,725000,65
00005198,32,185,80,1100000,70
00007813,26,190,73,850000,67
00001825,32,182,73,4300000,75
00007504,24,176,71,1000000,67
00003494,28,185,77,3200000,72
00011766,28,176,70,450000,64
00005919,27,181,72,1200000,69
00000962,21,170,73,10500000,77
00006904,26,177,76,1100000,68
00004415,32,184,86,1900000,71
00009899,23,177,71,775000,65
00010356,35,179,75,240000,65
00017046,26,175,69,130000,57
00004088,24,184,70,2900000,71
00009798,24,184,88,725000,65
00004553,21,180,77,2800000,70
00000149,25,180,73,30500000,83
00009012,26,187,79,675000,66
00008350,30,174,74,725000,67
00000765,26,176,70,12000000,78
00004431,28,180,65,2000000,71
00003534,32,176,66,2500000,72
00005550,25,184,82,1300000,69
00006027,33,179,75,475000,69
00002722,26,175,72,4800000,73
00005133,30,180,74,1400000,70
00001209,22,192,85,8000000,76
00000249,34,190,74,9500000,82
00006467,22,176,73,1200000,68
00002322,31,165,64,4100000,74
00010749,20,171,69,975000,64
00000515,23,183,74,17500000,79
00000869,29,187,86,10500000,78
00012740,28,190,82,375000,63
00003537,29,178,74,2600000,72
00007095,31,183,73,675000,68
00007598,23,185,80,1000000,67
00002102,22,183,70,7000000,74
00000638,34,171,64,6500000,79
00015917,24,179,74,210000,59
00009112,29,184,77,525000,66
00008398,27,178,65,800000,67
00001970,29,178,80,6500000,75
00003808,18,175,65,4900000,71
00011635,28,173,70,400000,64
00015036,20,187,77,300000,60
00005390,30,186,82,1400000,70
00009524,31,185,76,475000,66
00008374,34,180,75,275000,67
00011242,25,186,77,600000,64
00004829,24,176,72,2300000,70
00001751,26,179,74,8000000,75
00004883,28,192,80,1500000,70
00007079,29,189,87,750000,68
00011743,32,173,71,350000,64
00009894,24,187,84,775000,65
00012890,28,182,75,375000,63
00000436,37,180,79,5500000,80
00002712,27,174,75,4100000,73
00011105,23,193,73,575000,64
00008631,22,187,80,950000,66
00006035,32,174,63,650000,69
00000321,37,170,72,6500000,81
00012720,30,175,73,350000,63
00001891,33,176,74,3200000,75
00004210,31,184,80,1500000,71
00008251,33,186,78,375000,67
00005374,30,180,70,1700000,70
00011286,25,185,80,525000,64
00009795,22,180,76,700000,65
00000731,25,179,68,12000000,78
00006616,23,178,72,1200000,68
00001988,30,176,77,5500000,75
00006990,33,171,70,550000,68
00008364,30,173,69,700000,67
00006282,31,190,87,775000,69
00006815,28,191,88,900000,68
00000757,28,188,84,10500000,78
00007253,28,186,81,925000,68
00012414,24,177,68,500000,63
00009231,30,170,75,600000,66
00007118,32,174,71,575000,68
00001397,30,187,80,7500000,76
00003296,25,180,76,4000000,72
00003731,29,187,77,3100000,72
00005218,29,184,70,1700000,70
00005690,24,182,70,1200000,69
00003785,27,180,76,2800000,72
00010063,24,186,79,725000,65
00003993,25,185,71,3100000,71
00003370,28,184,70,3100000,72
00000265,27,179,70,23000000,82
00007871,27,198,94,800000,67
00016832,20,177,71,190000,57
00012799,29,182,74,350000,63
00006720,24,173,68,1200000,68
00001595,22,192,78,8000000,75
00003554,28,183,84,3100000,72
00009521,27,175,75,675000,66
00011346,26,180,77,550000,64
00007322,20,179,74,1700000,67
00003948,25,190,80,2800000,71
00016241,21,177,75,240000,58
00011065,22,182,78,650000,64
00011930,19,186,70,750000,63
00003090,23,190,83,3900000,72
00003040,32,185,83,3200000,73
00000214,24,189,70,30000000,82
00003743,28,181,82,2700000,72
00000033,26,188,78,54500000,87
00002854,29,172,74,3300000,73
00003400,27,182,79,3600000,72
00003214,26,187,79,3700000,72
00016023,28,186,80,160000,59
00006508,23,176,65,1200000,68
00003768,24,170,67,3400000,72
00007163,27,185,78,950000,68
00001849,32,180,73,4400000,75
00004144,28,177,72,2400000,71
00003021,28,177,72,4000000,73
00000438,34,177,72,8000000,80
00002169,25,176,70,7000000,74
00000139,31,190,83,23000000,84
00004161,27,193,90,2800000,71
00017749,23,181,75,110000,55
00017451,27,176,62,100000,56
00012837,26,175,70,400000,63
00006953,34,186,78,325000,68
00000121,35,179,67,9500000,84
00000184,32,183,76,17000000,83
00000578,28,173,66,12500000,79
00004914,30,185,85,1400000,70
00003476,31,181,75,2700000,72
00003510,30,180,74,2900000,72
00001744,26,183,77,7500000,75
00003700,29,178,72,2600000,72
00009445,30,189,83,525000,66
00005544,21,180,72,1500000,69
00006065,35,184,75,475000,69
00002028,28,178,72,7000000,75
00001549,21,170,66,10000000,75
00004505,28,174,71,2000000,71
00005849,27,170,70,1000000,69
00010815,20,167,61,925000,64
00009303,29,179,75,550000,66
00008663,23,174,67,850000,66
00001108,29,187,82,8500000,77
00001486,28,192,90,5500000,76
00007273,24,190,79,850000,68
00000891,32,188,87,8500000,78
00003006,28,188,83,2900000,73
00001669,27,186,81,7000000,75
00005107,30,170,68,1700000,70
00005352,31,185,84,1500000,70
00003299,25,186,80,2900000,72
00012624,26,186,73,425000,63
00004050,27,179,74,2100000,71
00010455,28,187,81,550000,65
00004880,29,198,93,1500000,70
00015847,21,174,73,210000,59
00001155,32,188,82,5500000,77
00002345,32,192,85,3400000,74
00001579,21,174,65,8500000,75
00011136,23,179,75,625000,64
00001002,27,175,67,9000000,77
00014691,18,189,78,400000,60
00004264,33,177,76,1100000,71
00012991,18,170,68,575000,62
00005307,36,183,86,625000,70
00013575,26,170,69,325000,62
00001812,35,179,74,3100000,75
00009791,22,180,80,725000,65
00005419,21,178,72,2000000,69
00003294,24,180,76,3500000,72
00000458,30,181,75,13500000,80
00009562,30,169,68,600000,66
00001404,30,178,80,7500000,76
00010698,30,177,74,525000,65
00003640,27,175,66,3200000,72
00004235,28,180,73,2400000,71
00005154,31,189,82,1300000,70
00010227,26,175,72,625000,65
00003240,26,196,93,3000000,72
00010840,18,170,61,800000,64
00002277,34,184,76,2100000,74
00001035,34,193,88,3300000,77
00005053,34,191,84,675000,70
00002222,26,176,72,6500000,74
00002477,28,178,75,5500000,74
00010516,34,187,94,190000,65
00005458,23,175,74,1500000,69
00005137,32,183,75,1300000,70
00002780,33,172,72,2300000,73
00002525,23,179,72,6000000,73
00003082,20,178,75,5500000,72
00015283,25,182,77,240000,60
00002874,31,188,80,3600000,73
00000036,35,187,85,15500000,87
00002252,27,178,77,6500000,74
00015606,19,172,65,325000,59
00010694,28,178,73,550000,65
00003219,26,193,80,3700000,72
00011173,23,175,72,550000,64
00008066,29,172,76,625000,67
00008854,22,178,75,750000,66
00002564,24,189,85,5000000,73
00007450,21,187,77,925000,67
00005188,31,180,76,1600000,70
00009870,22,171,66,675000,65
00001282,27,176,76,8500000,76
00009117,29,181,75,600000,66
00016002,32,176,75,100000,59
00012912,29,187,81,300000,63
00010566,29,187,80,450000,65
00006635,24,182,72,1100000,68
00001335,26,183,83,8000000,76
00002498,22,180,73,7000000,73
00004989,33,183,81,875000,70
00009852,23,177,72,750000,65
00002887,30,178,76,3200000,73
00000064,21,196,90,41500000,85
00002787,31,175,75,3500000,73
00000961,26,188,86,10000000,77
00006691,25,180,73,1000000,68
00002422,28,178,75,5500000,74
00015449,32,184,83,170000,60
00003397,28,189,82,3000000,72
00006436,23,184,76,1300000,68
00011035,21,187,70,625000,64
00011656,28,181,73,375000,64
00005063,32,188,83,1100000,70
00003862,23,180,74,3300000,71
00004761,27,186,79,1600000,70
00008969,25,186,86,825000,66
00004184,36,186,81,500000,71
00002007,28,188,88,6500000,75
00011856,33,175,76,200000,64
00001346,35,175,75,2200000,76
00002680,25,173,73,4400000,73
00004858,28,187,85,1500000,70
00007066,28,184,64,900000,68
00005863,28,191,71,1000000,69
00005717,23,169,61,1300000,69
00003705,29,177,68,3000000,72
00001943,33,168,71,4000000,75
00007616,23,170,65,1000000,67
00011794,30,187,78,425000,64
00001715,28,187,83,6000000,75
00000172,32,186,89,20500000,83
00016624,31,181,78,110000,58
00008939,25,170,72,800000,66
00007757,26,198,88,700000,67
00010439,28,176,78,550000,65
00004155,26,186,80,2800000,71
00008935,26,172,77,775000,66
00005123,34,178,77,650000,70
00011249,24,178,74,525000,64
00003998,25,189,76,2700000,71
00001855,29,173,64,6500000,75
00005533,22,176,74,1400000,69
00008301,30,178,72,725000,67
00016973,23,188,77,150000,57
00001609,24,175,68,9000000,75
00005683,23,183,73,1400000,69
00016405,21,182,80,180000,58
00011102,23,173,70,625000,64
00006793,26,173,66,1100000,68
00001575,22,194,88,7000000,75
00001249,24,176,71,9000000,76
00000577,27,188,80,14000000,79
00005888,25,180,69,1200000,69
00009345,29,177,70,625000,66
00008520,20,183,76,1100000,66
00000476,30,187,84,12000000,80
00009978,24,187,84,725000,65
00001273,26,181,78,9500000,76
00004399,30,178,69,2300000,71
00000946,23,181,70,9000000,77
00009152,34,178,79,250000,66
00002988,30,173,63,3200000,73
00000217,24,177,68,29000000,82
00013781,27,172,72,300000,62
00012562,26,182,75,475000,63
00006130,29,175,70,1000000,69
00007385,22,184,69,1300000,67
00001221,24,190,77,9500000,76
00013357,24,180,75,425000,62
00005626,23,181,73,1300000,69
00012877,30,177,74,300000,63
00001100,32,171,76,6000000,77
00016538,23,178,68,160000,58
00005250,30,187,87,1400000,70
00005277,27,162,76,1900000,70
00016332,20,185,82,200000,58
00004779,25,183,77,2100000,70
00008065,31,186,83,675000,67
00010032,25,174,74,700000,65
00000700,23,175,70,13000000,78
00010323,36,183,70,90000,65
00013627,28,183,81,300000,62
00005844,28,186,75,1000000,69
00009299,32,180,75,400000,66
00004581,22,171,72,2800000,70
00010026,25,172,76,625000,65
00000595,34,185,78,5500000,79
00007746,27,191,80,700000,67
00009889,24,185,74,700000,65
00012398,25,180,76,450000,63
00004085,27,183,76,2500000,71
00004186,34,190,80,875000,71
00003421,36,184,75,1100000,72
00014667,30,181,74,200000,61
00001797,34,194,90,3500000,75
00004934,28,179,73,1700000,70
00002982,28,178,71,3400000,73
00000830,29,186,81,8500000,78
00001458,30,185,74,6500000,76
00002046,19,178,65,10000000,74
00018350,16,188,80,100000,52
00016426,22,178,75,190000,58
00007721,25,184,73,900000,67
00011567,36,178,74,150000,64
00009943,20,178,74,675000,65
00012671,38,188,87,35000,63
00000226,28,189,84,20000000,82
00013241,22,178,72,475000,62
00004378,29,176,74,2000000,71
00017959,20,180,72,120000,54
00006574,24,170,65,1200000,68
00005860,27,182,73,1200000,69
00011572,34,183,67,170000,64
00001887,29,178,75,5500000,75
00008615,21,180,78,925000,66
00010098,28,185,86,500000,65
00002701,27,182,76,4200000,73
00001233,24,181,81,10500000,76
00002310,31,180,80,5000000,74
00015138,23,188,75,275000,60
00009838,22,183,83,700000,65
00014298,21,185,82,325000,61
00006489,22,175,67,1300000,68
00013060,20,181,71,525000,62
00003133,22,175,68,4100000,72
00014569,30,177,73,200000,61
00016625,28,175,69,130000,58
00002097,22,186,78,8000000,74
00005295,30,171,72,1400000,70
00012282,24,166,64,525000,63
00005004,31,180,78,1600000,70
00011205,24,181,77,625000,64
00002220,28,183,82,5500000,74
00013229,22,188,75,450000,62
00002368,32,183,86,3600000,74
00003390,27,173,70,3100000,72
00007299,33,179,71,425000,68
00006323,29,183,80,875000,69
00014676,33,183,80,120000,61
00005052,32,177,65,1300000,70
00009017,25,178,73,775000,66
00013633,27,193,84,350000,62
00009806,23,177,70,800000,65
00007985,36,180,80,160000,67
00000086,29,175,69,37000000,85
00005168,27,182,65,1900000,70
00007777,25,192,88,850000,67
00000416,27,185,80,15000000,80
00003668,28,186,85,3200000,72
00005382,28,185,81,1800000,70
00008927,25,172,76,800000,66
00005082,33,178,73,800000,70
00000677,28,186,80,9500000,79
00000582,26,187,82,14500000,79
00001256,27,193,90,7000000,76
00000156,23,175,73,34500000,83
00012916,32,184,79,240000,63
00000234,29,185,72,21000000,82
00005280,26,168,61,1900000,70
00004692,24,171,64,2400000,70
00001491,28,182,77,7000000,76
00000917,22,179,62,13000000,77
00017002,22,178,67,140000,57
00007978,34,185,75,400000,67
00018885,31,175,63,25000,49
00009929,24,186,79,675000,65
00001461,29,173,70,7500000,76
00000144,25,172,66,30500000,83
00000883,20,186,73,10000000,78
00009387,32,184,78,425000,66
00002139,23,175,65,7500000,74
00000410,25,173,74,18500000,80
00014807,19,178,72,400000,60
00000206,28,180,77,27000000,83
00007243,26,177,75,950000,68
00001116,33,187,82,4200000,77
00002951,29,173,64,3900000,73
00002462,28,182,80,4900000,74
00000797,33,179,65,6500000,78
00000454,30,172,68,14000000,80
00006552,24,183,76,1100000,68
00009333,29,186,80,625000,66
00004236,32,170,65,1800000,71
00000280,23,179,68,24500000,81
00008397,31,185,80,575000,67
00002997,31,175,70,3000000,73
00008951,27,186,81,700000,66
00000106,24,171,69,35500000,84
00008289,30,196,92,525000,67
00004820,26,195,82,1600000,70
00000462,33,190,80,8000000,80
00008655,22,174,66,850000,66
00005506,22,168,63,1600000,69
00000810,34,195,95,4500000,78
00002382,29,174,70,5500000,74
00002675,25,180,65,5000000,73
00005308,30,180,79,1400000,70
00000889,24,173,72,11500000,78
00004313,29,181,69,2000000,71
00005583,25,187,77,1300000,69
00016575,27,173,67,140000,58
00016608,30,190,77,90000,58
00006729,27,173,70,975000,68
00002047,20,178,68,9500000,74
00003651,28,178,71,3100000,72
00003749,20,180,76,3500000,72
00002475,27,181,77,6000000,74
00003013,32,179,77,2600000,73
00009435,28,183,76,550000,66
00006280,30,170,68,1000000,69
00015291,25,183,75,250000,60
00003517,34,168,67,1100000,72
00004083,25,180,72,2900000,71
00006908,26,167,61,1100000,68
00016700,19,164,58,220000,57
00013646,27,173,72,300000,62
00010989,23,180,77,625000,64
00014599,31,185,77,190000,61
00015824,23,189,87,180000,59
00007290,28,174,69,775000,68
00009787,23,179,71,800000,65
00014493,26,175,69,275000,61
00000275,22,175,70,26000000,81
00008776,23,186,75,800000,66
00005297,31,186,76,1300000,70
00001810,33,183,81,3100000,75
00006707,24,183,75,1200000,68
00000523,22,180,66,17500000,79
00002668,26,177,68,4500000,73
00007592,23,188,86,1000000,67
00012389,24,183,80,475000,63
00014492,26,173,68,300000,61
00000657,26,178,76,13500000,79
00015448,33,184,83,100000,60
00013296,23,175,64,450000,62
00015740,22,180,64,250000,59
00005701,25,180,84,1400000,69
00002859,30,192,81,3200000,73
00005086,28,191,75,1600000,70
00001259,25,185,75,10000000,76
00014613,29,184,73,210000,61
00013274,21,187,76,425000,62
00004453,28,189,82,2400000,71
00005756,25,174,63,1300000,69
00010622,35,179,75,240000,65
00007939,27,195,85,900000,67
00008360,31,175,60,675000,67
00008416,33,188,90,400000,67
00004385,32,183,94,1900000,71
00004993,35,189,85,825000,70
00001725,29,182,77,5500000,75
00011406,26,165,67,500000,64
00006826,26,177,68,1100000,68
00004875,26,178,74,2100000,70
00010465,27,182,77,550000,65
00000777,26,185,72,12000000,78
00013967,19,185,75,500000,61
00014498,26,179,76,300000,61
00010651,34,181,75,240000,65
00012244,21,169,65,550000,63
00008027,33,181,70,350000,67
00001768,30,183,75,5500000,75
00000976,26,168,67,9500000,77
00012708,35,180,70,110000,63
00000022,26,188,89,71000000,88
00005774,24,178,70,1300000,69
00004392,30,172,66,2200000,71
00001624,23,186,81,6500000,75
00000037,33,188,82,27000000,87
00013438,25,186,76,375000,62
00002651,27,190,81,4300000,73
00000223,27,194,100,24000000,82
00001599,24,181,80,8500000,75
00008382,28,174,80,675000,67
00001758,27,177,73,8000000,75
00007400,20,170,68,1200000,67
00008435,18,177,66,1300000,66
00012923,35,170,65,160000,63
00008747,24,182,73,775000,66
00011309,24,187,85,525000,64
00004207,35,188,76,750000,71
00007409,22,184,73,1100000,67
00006203,33,185,77,500000,69
00006096,30,182,74,850000,69
00007257,29,173,65,850000,68
00010288,26,172,69,550000,65
00008383,31,182,72,650000,67
00000471,31,177,75,13000000,80
00016326,22,189,80,170000,58
00005722,25,177,75,1200000,69
00003943,25,173,71,3100000,71
00004889,26,187,82,2100000,70
00007306,31,174,68,775000,68
00017679,21,179,67,130000,55
00014994,22,191,81,300000,60
00006278,30,171,68,1000000,69
00000922,23,175,70,12500000,77
00012860,35,174,67,120000,63
00004212,35,183,80,1000000,71
00003389,27,180,76,3100000,72
00015825,22,175,70,230000,59
00005901,26,183,72,1100000,69
00010469,28,193,85,475000,65
00011530,36,180,80,90000,64
00008583,21,184,78,900000,66
00004049,26,182,77,3000000,71
00015997,27,178,74,150000,59
00011660,34,187,73,230000,64
00002566,25,170,72,4900000,73
00001801,34,181,72,3500000,75
00004253,30,184,79,1900000,71
00009550,27,177,70,575000,66
00006863,26,183,82,1100000,68
00000864,30,183,70,8000000,78
00010665,33,181,75,250000,65
00011498,30,183,75,350000,64
00009732,21,178,72,775000,65
00010310,27,189,82,625000,65
00013487,25,196,85,400000,62
00000047,27,183,78,52500000,87
00011140,24,170,75,575000,64
00002372,31,187,78,3600000,74
00005637,24,183,71,1200000,69
00000668,28,175,71,11000000,79
00004742,22,183,78,2100000,70
00000985,27,188,88,7500000,77
00003322,27,180,74,3300000,72
00000845,27,195,80,11000000,78
00003732,29,201,90,3100000,72
00009610,20,174,72,1000000,65
00007040,27,186,83,950000,68
00006766,26,189,85,1000000,68
00004745,24,195,94,2400000,70
00010011,24,183,77,650000,65
00000532,24,176,74,15500000,79
00012118,22,193,90,600000,63
00005294,29,173,72,1700000,70
00014364,25,189,93,300000,61
00010549,29,176,69,525000,65
00008767,25,188,82,775000,66
00017605,20,185,75,150000,55
00005231,30,183,73,1500000,70
00014407,27,191,85,230000,61
00009805,23,174,67,775000,65
00015347,29,193,85,200000,60
00002817,33,178,78,2300000,73
00010126,27,181,79,575000,65
00004354,28,180,72,2400000,71
00000383,25,178,74,17500000,80
00006269,24,178,74,1200000,69
00005337,24,187,79,1700000,70
00005977,33,172,67,650000,69
00002728,26,179,77,4700000,73
00006667,23,179,70,1200000,68
00001915,31,174,67,6000000,75
00003771,28,180,92,3200000,72
00000492,24,182,74,11500000,80
00002843,33,185,79,1900000,73
00006697,25,179,74,1000000,68
00002985,30,186,80,3900000,73
00010636,20,175,71,525000,65
00003177,23,181,66,4400000,72
00001647,26,188,77,7500000,75
00001027,42,180,78,0,77
00003585,29,177,70,2600000,72
00003604,30,186,77,2500000,72
00012418,25,187,76,450000,63
00015241,26,190,77,240000,60
00003524,33,176,73,1900000,72
00003007,28,190,88,3500000,73
00000834,29,173,69,8500000,78
00003775,24,175,75,3000000,72
00009447,32,176,69,500000,66
00006945,31,178,73,800000,68
00000460,33,180,85,9000000,80
00000944,24,177,77,12000000,77
00008874,24,183,80,750000,66
00012791,29,178,69,350000,63
00002964,27,185,78,4300000,73
00008406,36,192,88,150000,67
00005012,31,174,70,1600000,70
00010692,28,179,75,475000,65
00000434,34,186,78,6500000,80
00009385,30,172,60,500000,66
00004520,20,169,69,3900000,70
00002540,24,182,80,4300000,73
00012725,32,194,86,240000,63
00007397,20,173,70,1300000,67
00010454,29,170,70,550000,65
00003128,24,185,73,4400000,72
00012900,31,188,83,275000,63
00002924,28,174,65,3400000,73
